Brand,Processor,RAM(GB),GPU,Screen_Size(inch),Battery_Life(hours),Weight(kg),Operating_System,Storage_Size(GB),Storage_Type,ResolutionX,ResolutionY,Price(€)
Asus,Intel i7,4,Nvidia RTX 3080,16.0,8.0,1.59,macOS,1024,HDD,1920,1080,853.5
HP,Intel i3,16,AMD Radeon RX 6800,14.0,5.6,1.91,Windows,256,SSD,3840,2160,1513.61
MSI,Intel i9,4,Nvidia RTX 2060,14.0,7.1,1.94,FreeDOS,256,SSD,3840,2160,2839.41
Apple,AMD Ryzen 7,32,Nvidia RTX 3080,16.0,5.8,3.26,FreeDOS,1024,HDD,3840,2160,4199.03
Acer,AMD Ryzen 5,4,Integrated,13.3,11.3,3.13,FreeDOS,512,SSD,2560,1440,672.35
Microsoft,Intel i9,64,Nvidia RTX 3060,16.0,7.4,2.95,FreeDOS,256,SSD,1366,768,3316.2
Samsung,Intel i5,64,Nvidia RTX 2060,13.3,9.0,2.7,FreeDOS,512,SSD,1920,1080,2117.28
Samsung,AMD Ryzen 7,16,Nvidia GTX 1650,15.6,7.2,2.02,Linux,512,SSD,1920,1080,1412.6
Dell,AMD Ryzen 5,16,Nvidia RTX 2060,17.3,11.2,3.22,Windows,2048,SSD,3840,2160,2079.37
Razer,Intel i3,16,Integrated,17.3,11.3,2.95,macOS,256,SSD,2560,1440,1061.83
Samsung,Intel i3,32,AMD Radeon RX 6600,13.3,8.4,1.83,Windows,256,SSD,2560,1440,1499.7
Microsoft,Intel i5,4,AMD Radeon RX 6600,14.0,5.1,1.74,Windows,512,SSD,2560,1440,1183.37
Dell,AMD Ryzen 7,8,Nvidia RTX 3060,13.3,7.6,1.92,macOS,1024,HDD,2560,1440,1229.18
HP,Intel i3,8,Integrated,13.3,9.3,2.01,Windows,256,SSD,1366,768,341.51
MSI,Intel i9,32,Nvidia RTX 3060,16.0,6.3,2.43,Windows,2048,SSD,1920,1080,3587.9
Acer,Intel i3,4,Nvidia RTX 3080,13.3,11.0,2.31,FreeDOS,512,SSD,2560,1440,925.54
Dell,Intel i5,8,Nvidia RTX 3080,13.3,6.1,3.11,Linux,1024,SSD,1366,768,903.1
Asus,Intel i9,4,Nvidia GTX 1650,13.3,7.6,2.0,macOS,1024,SSD,3840,2160,2282.15
Lenovo,Intel i7,4,AMD Radeon RX 6600,14.0,10.4,2.02,macOS,2048,SSD,1366,768,958.46
MSI,AMD Ryzen 5,16,Nvidia RTX 3060,17.3,9.7,3.4,Windows,1024,SSD,2560,1440,1913.54
Microsoft,AMD Ryzen 3,64,Nvidia GTX 1650,17.3,9.0,3.36,FreeDOS,512,SSD,1920,1080,2003.77
Samsung,AMD Ryzen 7,32,Nvidia GTX 1650,17.3,6.4,1.35,Linux,2048,SSD,1920,1080,1988.05
Lenovo,Intel i5,8,AMD Radeon RX 6800,14.0,5.4,1.46,Linux,256,SSD,2560,1440,1046.36
Razer,Intel i9,32,Nvidia RTX 3060,13.3,4.3,1.87,FreeDOS,1024,SSD,2560,1440,4267.71
Lenovo,AMD Ryzen 9,32,AMD Radeon RX 6600,15.6,11.6,3.27,Windows,256,SSD,3840,2160,4527.92
Microsoft,AMD Ryzen 9,16,AMD Radeon RX 6600,16.0,7.1,2.13,Linux,2048,SSD,1366,768,1690.15
HP,Intel i5,64,AMD Radeon RX 6800,16.0,8.7,3.13,FreeDOS,1024,SSD,1920,1080,2344.72
HP,AMD Ryzen 3,32,AMD Radeon RX 6800,15.6,4.7,2.8,Windows,256,SSD,3840,2160,2096.14
Asus,AMD Ryzen 7,32,Integrated,14.0,10.1,2.99,FreeDOS,512,SSD,2560,1440,1443.94
Samsung,Intel i7,32,Integrated,15.6,5.7,1.32,FreeDOS,2048,SSD,1920,1080,1400.45
Apple,AMD Ryzen 5,8,Nvidia GTX 1650,13.3,10.6,2.06,macOS,1024,SSD,3840,2160,2360.54
Dell,Intel i3,64,AMD Radeon RX 6600,13.3,8.6,1.69,macOS,256,SSD,1366,768,1508.06
Dell,Intel i7,16,Nvidia RTX 3080,15.6,5.8,2.56,FreeDOS,1024,HDD,2560,1440,1477.46
Microsoft,AMD Ryzen 9,4,Nvidia RTX 2060,13.3,5.2,1.55,FreeDOS,1024,HDD,1366,768,1000.22
Razer,AMD Ryzen 9,16,AMD Radeon RX 6600,17.3,5.8,1.66,FreeDOS,512,SSD,1920,1080,2934.13
Acer,Intel i5,16,Nvidia RTX 3080,16.0,8.9,2.15,Linux,512,SSD,3840,2160,1973.25
Apple,Intel i7,16,Nvidia RTX 2060,15.6,9.1,2.6,Linux,1024,HDD,3840,2160,3035.37
Razer,Intel i5,16,AMD Radeon RX 6800,15.6,8.6,3.32,Windows,1024,HDD,3840,2160,2435.51
Dell,AMD Ryzen 9,8,Nvidia RTX 3060,17.3,9.7,1.58,FreeDOS,2048,SSD,3840,2160,2695.94
Razer,Intel i7,4,Nvidia RTX 3080,16.0,6.7,1.41,Linux,256,SSD,3840,2160,2670.01
Asus,Intel i7,16,Nvidia RTX 2060,14.0,9.9,1.32,FreeDOS,256,SSD,3840,2160,2377.05
HP,Intel i9,32,Nvidia RTX 3080,17.3,10.9,1.4,Linux,1024,HDD,3840,2160,3777.82
Razer,AMD Ryzen 9,8,Nvidia RTX 2060,15.6,4.9,1.69,macOS,256,SSD,3840,2160,3783.37
Acer,AMD Ryzen 9,64,AMD Radeon RX 6600,15.6,8.2,1.55,macOS,1024,HDD,2560,1440,4127.77
Acer,AMD Ryzen 7,8,Integrated,14.0,6.9,3.29,Windows,256,SSD,3840,2160,1185.07
Microsoft,AMD Ryzen 5,16,AMD Radeon RX 6600,14.0,4.0,1.67,Windows,1024,SSD,1920,1080,1117.37
Apple,AMD Ryzen 7,32,Nvidia RTX 3080,15.6,4.9,3.08,macOS,256,SSD,2560,1440,3709.74
Samsung,Intel i5,32,Nvidia RTX 3060,13.3,6.0,1.45,FreeDOS,512,SSD,1366,768,1308.75
Lenovo,Intel i5,8,Nvidia RTX 3080,16.0,4.6,1.66,Windows,256,SSD,2560,1440,1322.26
Acer,Intel i9,8,Nvidia GTX 1650,14.0,9.5,1.96,Linux,256,SSD,1920,1080,1582.38
Acer,Intel i7,8,Integrated,13.3,6.7,3.24,Linux,512,SSD,1366,768,668.61
Asus,Intel i7,16,Nvidia RTX 2060,15.6,10.4,2.58,macOS,512,SSD,3840,2160,2457.74
Razer,AMD Ryzen 3,64,Nvidia RTX 3080,16.0,11.8,2.65,macOS,256,SSD,1366,768,2270.41
Samsung,Intel i5,8,Nvidia RTX 3080,16.0,6.9,1.4,FreeDOS,1024,HDD,2560,1440,954.77
Acer,AMD Ryzen 3,32,Nvidia RTX 2060,13.3,6.7,2.51,Linux,256,SSD,1366,768,939.49
Asus,Intel i9,8,Integrated,15.6,5.9,2.25,FreeDOS,1024,SSD,2560,1440,1412.01
HP,Intel i9,4,Nvidia RTX 3060,16.0,5.8,2.55,macOS,1024,HDD,2560,1440,1539.4
Microsoft,AMD Ryzen 5,16,AMD Radeon RX 6800,16.0,5.2,2.11,Windows,512,SSD,3840,2160,2112.03
HP,AMD Ryzen 3,32,Nvidia RTX 2060,13.3,7.7,2.39,Linux,2048,SSD,3840,2160,2125.39
Dell,AMD Ryzen 3,16,Nvidia RTX 3080,16.0,7.6,2.62,Windows,1024,HDD,2560,1440,1165.02
Apple,AMD Ryzen 5,16,Nvidia RTX 3060,13.3,9.3,1.52,Linux,2048,SSD,2560,1440,2003.16
Acer,Intel i5,16,Integrated,17.3,5.1,2.07,FreeDOS,2048,SSD,2560,1440,1093.58
Lenovo,Intel i9,16,AMD Radeon RX 6600,15.6,8.1,3.01,FreeDOS,1024,SSD,1920,1080,1971.78
Lenovo,Intel i9,64,Integrated,14.0,11.4,2.88,Linux,1024,SSD,1920,1080,2504.76
Microsoft,AMD Ryzen 5,4,Nvidia RTX 3060,15.6,10.7,3.15,Windows,1024,SSD,3840,2160,1423.13
Apple,Intel i5,32,Integrated,17.3,9.8,2.16,Windows,256,SSD,2560,1440,2023.88
Acer,Intel i3,8,Nvidia GTX 1650,13.3,9.6,1.39,Windows,512,SSD,2560,1440,881.7
Microsoft,Intel i3,8,Nvidia RTX 3080,17.3,8.3,1.54,Linux,1024,SSD,2560,1440,980.55
Dell,Intel i7,64,Integrated,16.0,11.4,3.39,Windows,512,SSD,3840,2160,3357.04
Asus,Intel i3,64,Nvidia RTX 2060,15.6,8.3,2.54,Linux,256,SSD,1366,768,1788.42
MSI,AMD Ryzen 9,8,AMD Radeon RX 6600,17.3,5.7,1.95,macOS,1024,HDD,3840,2160,2926.08
HP,Intel i5,8,AMD Radeon RX 6600,13.3,8.9,2.95,Linux,1024,HDD,3840,2160,1183.63
MSI,Intel i3,8,Nvidia RTX 3080,15.6,4.5,2.54,Windows,2048,SSD,2560,1440,1487.25
HP,AMD Ryzen 7,4,AMD Radeon RX 6800,13.3,9.5,2.42,macOS,512,SSD,2560,1440,1430.13
Apple,AMD Ryzen 9,64,Nvidia GTX 1650,16.0,7.5,3.41,Windows,2048,SSD,1366,768,5034.07
Apple,AMD Ryzen 3,8,Integrated,15.6,11.6,2.46,FreeDOS,512,SSD,3840,2160,1305.92
Acer,AMD Ryzen 7,16,Integrated,16.0,4.3,1.27,Linux,512,SSD,2560,1440,1174.21
HP,AMD Ryzen 3,32,Integrated,14.0,9.1,3.23,Windows,512,SSD,2560,1440,912.06
Microsoft,AMD Ryzen 9,64,Nvidia GTX 1650,15.6,10.6,1.46,Windows,256,SSD,1920,1080,3864.86
Samsung,AMD Ryzen 7,64,Nvidia RTX 3080,16.0,11.9,2.52,FreeDOS,2048,SSD,3840,2160,5013.03
Samsung,AMD Ryzen 5,64,AMD Radeon RX 6800,16.0,4.5,1.58,Linux,1024,SSD,3840,2160,4072.73
Apple,Intel i7,4,AMD Radeon RX 6600,15.6,6.9,1.99,Windows,1024,HDD,1920,1080,1471.24
Asus,AMD Ryzen 3,4,Integrated,15.6,8.2,3.35,FreeDOS,2048,SSD,1920,1080,507.28
MSI,AMD Ryzen 3,64,Nvidia RTX 3060,16.0,7.9,3.1,Linux,1024,SSD,2560,1440,3168.31
Microsoft,Intel i9,64,Nvidia GTX 1650,17.3,6.2,2.46,Windows,256,SSD,1920,1080,3991.58
Apple,AMD Ryzen 7,64,Nvidia GTX 1650,13.3,11.6,1.66,Windows,2048,SSD,1920,1080,4024.85
Asus,Intel i7,8,Nvidia GTX 1650,15.6,4.4,3.21,macOS,1024,SSD,1920,1080,1238.72
Lenovo,AMD Ryzen 7,16,Nvidia GTX 1650,17.3,7.2,2.49,Linux,1024,SSD,3840,2160,2530.18
Dell,Intel i7,16,AMD Radeon RX 6800,16.0,5.3,2.57,FreeDOS,2048,SSD,1920,1080,1398.81
Microsoft,AMD Ryzen 9,64,Nvidia RTX 3060,15.6,5.5,2.32,Linux,512,SSD,2560,1440,4870.3
Lenovo,Intel i9,4,Nvidia GTX 1650,13.3,10.7,3.43,FreeDOS,1024,SSD,1366,768,1258.15
Asus,Intel i7,8,Nvidia RTX 3080,13.3,10.8,2.3,Windows,2048,SSD,1920,1080,1131.9
Dell,Intel i7,32,Integrated,15.6,4.1,1.25,macOS,2048,SSD,1366,768,1131.1
Dell,AMD Ryzen 7,32,Nvidia RTX 2060,15.6,5.2,1.56,Windows,512,SSD,1366,768,1734.86
Razer,Intel i3,8,Nvidia RTX 2060,14.0,8.6,2.17,Linux,1024,HDD,1366,768,708.28
Dell,AMD Ryzen 9,4,Nvidia GTX 1650,13.3,5.0,2.79,Linux,512,SSD,3840,2160,2223.72
Apple,Intel i7,16,Nvidia GTX 1650,15.6,9.7,3.32,Windows,512,SSD,1920,1080,2135.52
Microsoft,Intel i5,32,Nvidia RTX 3080,17.3,4.3,2.94,Windows,1024,HDD,1366,768,1115.56
Razer,Intel i7,16,AMD Radeon RX 6600,15.6,11.0,1.82,macOS,1024,HDD,2560,1440,2187.7
MSI,Intel i5,8,Integrated,16.0,7.2,1.35,FreeDOS,1024,SSD,1920,1080,907.06
MSI,Intel i5,4,Nvidia RTX 3060,14.0,9.5,1.33,Windows,512,SSD,3840,2160,1668.88
Microsoft,Intel i3,16,Integrated,13.3,8.0,2.51,Linux,1024,SSD,2560,1440,866.24
Dell,AMD Ryzen 7,16,AMD Radeon RX 6600,15.6,4.4,1.7,Linux,1024,SSD,1920,1080,1636.74
Dell,AMD Ryzen 9,32,Integrated,13.3,11.1,1.6,FreeDOS,1024,SSD,2560,1440,2167.91
Acer,Intel i5,16,Nvidia RTX 3080,14.0,11.3,1.57,Windows,1024,SSD,1366,768,899.03
Samsung,AMD Ryzen 3,8,Nvidia RTX 3060,16.0,6.2,2.6,macOS,512,SSD,2560,1440,1022.65
Samsung,Intel i5,64,AMD Radeon RX 6800,16.0,10.2,2.63,Linux,256,SSD,1366,768,2027.24
Acer,Intel i3,64,Integrated,13.3,5.0,3.29,FreeDOS,1024,SSD,1920,1080,1128.27
Asus,AMD Ryzen 7,16,Nvidia RTX 2060,14.0,4.5,2.42,Windows,512,SSD,2560,1440,1804.06
HP,AMD Ryzen 7,4,Nvidia GTX 1650,15.6,9.9,3.12,macOS,256,SSD,1920,1080,1153.05
Dell,AMD Ryzen 5,32,Nvidia RTX 3080,13.3,8.8,2.02,FreeDOS,256,SSD,1920,1080,1423.02
HP,Intel i9,32,AMD Radeon RX 6600,13.3,4.6,1.78,macOS,256,SSD,1366,768,2148.02
Asus,Intel i3,8,Nvidia RTX 3060,15.6,9.6,2.66,Linux,1024,SSD,3840,2160,1508.74
Acer,AMD Ryzen 3,8,Nvidia RTX 2060,14.0,10.0,2.12,macOS,1024,SSD,3840,2160,1290.24
Samsung,AMD Ryzen 3,8,Nvidia RTX 3080,15.6,9.8,2.28,Linux,2048,SSD,2560,1440,1200.54
Apple,AMD Ryzen 3,8,Nvidia GTX 1650,14.0,9.7,1.89,Linux,256,SSD,1366,768,1039.63
Dell,AMD Ryzen 7,4,Nvidia RTX 3060,14.0,6.0,1.5,Linux,2048,SSD,3840,2160,1667.48
Acer,Intel i3,64,Nvidia GTX 1650,17.3,7.4,3.17,FreeDOS,512,SSD,3840,2160,3328.89
MSI,Intel i7,64,Nvidia RTX 3080,13.3,7.5,1.61,macOS,256,SSD,2560,1440,4495.33
Razer,AMD Ryzen 7,32,AMD Radeon RX 6800,16.0,9.9,3.06,Linux,256,SSD,3840,2160,4668.27
Asus,AMD Ryzen 7,8,Nvidia RTX 2060,15.6,7.3,1.95,Linux,256,SSD,2560,1440,1618.34
Dell,AMD Ryzen 3,32,Nvidia RTX 3080,15.6,6.4,3.15,macOS,2048,SSD,2560,1440,1629.37
Samsung,AMD Ryzen 7,8,AMD Radeon RX 6800,16.0,4.0,1.82,Linux,512,SSD,2560,1440,1484.31
MSI,AMD Ryzen 5,8,Nvidia RTX 3080,15.6,9.5,1.85,FreeDOS,256,SSD,1366,768,1147.23
Razer,Intel i5,64,AMD Radeon RX 6800,15.6,8.6,2.67,Linux,512,SSD,1366,768,2740.46
Dell,Intel i3,4,Nvidia RTX 3080,14.0,5.8,3.15,macOS,1024,SSD,1920,1080,774.12
MSI,Intel i5,16,AMD Radeon RX 6600,16.0,7.6,2.61,Linux,2048,SSD,2560,1440,2005.7
Asus,Intel i7,64,Nvidia RTX 2060,16.0,5.2,2.78,macOS,1024,SSD,1920,1080,2980.91
Samsung,Intel i9,32,AMD Radeon RX 6800,15.6,4.5,1.42,Linux,512,SSD,3840,2160,4389.79
Apple,AMD Ryzen 3,64,Nvidia RTX 3080,13.3,5.2,1.86,FreeDOS,256,SSD,1920,1080,2830.39
Microsoft,AMD Ryzen 7,4,Nvidia RTX 3080,16.0,7.6,2.48,Linux,2048,SSD,3840,2160,1765.38
HP,Intel i7,8,AMD Radeon RX 6600,15.6,9.4,2.53,Windows,512,SSD,1920,1080,1375.11
Samsung,AMD Ryzen 9,32,Nvidia GTX 1650,15.6,9.3,1.49,FreeDOS,256,SSD,2560,1440,3350.48
Dell,Intel i9,64,Nvidia GTX 1650,13.3,10.0,3.38,Windows,512,SSD,2560,1440,4458.9
Razer,Intel i5,16,Nvidia RTX 3060,17.3,9.6,1.57,Linux,512,SSD,3840,2160,2770.45
Samsung,Intel i5,16,Nvidia RTX 3060,15.6,8.9,1.24,macOS,256,SSD,1366,768,1053.23
Apple,AMD Ryzen 9,8,Nvidia GTX 1650,15.6,11.5,3.25,Linux,2048,SSD,2560,1440,3029.68
Apple,Intel i5,32,AMD Radeon RX 6800,14.0,6.6,1.68,macOS,2048,SSD,1366,768,1914.47
Asus,Intel i9,16,Nvidia GTX 1650,13.3,4.6,2.68,Windows,512,SSD,2560,1440,2272.58
Microsoft,AMD Ryzen 7,32,AMD Radeon RX 6800,17.3,9.8,1.45,Linux,1024,HDD,2560,1440,2110.55
Microsoft,AMD Ryzen 5,64,Nvidia RTX 2060,15.6,5.1,2.3,FreeDOS,1024,SSD,1366,768,2119.7
Dell,AMD Ryzen 9,32,Nvidia GTX 1650,16.0,8.5,2.2,Windows,2048,SSD,1920,1080,2704.61
Razer,AMD Ryzen 3,8,AMD Radeon RX 6800,14.0,9.4,2.46,FreeDOS,1024,HDD,1920,1080,831.21
Apple,AMD Ryzen 3,64,Nvidia RTX 3080,16.0,5.5,2.78,Linux,1024,HDD,2560,1440,3003.93
Lenovo,AMD Ryzen 5,4,AMD Radeon RX 6800,13.3,5.8,1.41,macOS,512,SSD,2560,1440,1018.47
Asus,Intel i9,4,Integrated,16.0,10.3,2.73,Windows,1024,HDD,2560,1440,998.82
Lenovo,Intel i7,32,Nvidia RTX 2060,14.0,8.9,1.35,FreeDOS,256,SSD,1920,1080,1888.36
Dell,AMD Ryzen 7,64,Nvidia RTX 2060,13.3,7.9,1.37,Linux,2048,SSD,1920,1080,2695.41
Razer,AMD Ryzen 7,64,AMD Radeon RX 6800,14.0,4.2,2.56,macOS,256,SSD,1920,1080,3901.98
Acer,Intel i7,16,Nvidia RTX 3060,17.3,4.1,2.19,FreeDOS,1024,SSD,2560,1440,1855.95
Acer,AMD Ryzen 5,64,Integrated,14.0,6.7,1.76,FreeDOS,1024,HDD,3840,2160,2046.94
Razer,Intel i5,8,AMD Radeon RX 6600,15.6,7.4,3.15,Windows,512,SSD,1366,768,1121.8
HP,Intel i5,64,Nvidia GTX 1650,15.6,10.7,1.52,Windows,1024,SSD,1366,768,2031.9
Razer,Intel i5,16,Nvidia RTX 2060,15.6,8.5,3.48,FreeDOS,2048,SSD,1366,768,1448.8
Samsung,AMD Ryzen 7,8,Nvidia RTX 2060,14.0,9.2,2.04,FreeDOS,256,SSD,2560,1440,1403.23
Asus,Intel i3,16,Integrated,15.6,8.0,3.36,Windows,1024,HDD,1920,1080,592.44
MSI,AMD Ryzen 5,16,AMD Radeon RX 6600,16.0,11.7,2.23,macOS,2048,SSD,1920,1080,1517.84
Asus,Intel i9,8,Nvidia RTX 2060,15.6,11.4,2.13,FreeDOS,2048,SSD,2560,1440,2024.19
Microsoft,Intel i3,16,Nvidia RTX 2060,15.6,7.4,1.92,macOS,512,SSD,1366,768,788.5
Asus,Intel i5,64,AMD Radeon RX 6600,15.6,5.3,2.07,Linux,2048,SSD,1920,1080,2307.29
HP,AMD Ryzen 5,16,AMD Radeon RX 6600,17.3,5.3,3.47,Linux,256,SSD,1366,768,916.68
MSI,Intel i3,64,Nvidia GTX 1650,13.3,4.7,3.38,Windows,1024,HDD,1920,1080,1964.6
Acer,Intel i5,4,Nvidia RTX 2060,14.0,6.3,1.42,macOS,256,SSD,3840,2160,1252.03
Razer,AMD Ryzen 5,16,AMD Radeon RX 6600,15.6,4.3,1.29,FreeDOS,1024,SSD,3840,2160,2806.9
Microsoft,AMD Ryzen 7,8,Nvidia GTX 1650,17.3,8.6,2.13,Windows,1024,SSD,2560,1440,1465.43
MSI,Intel i7,8,Nvidia RTX 2060,16.0,8.5,2.68,Linux,2048,SSD,2560,1440,2162.62
Microsoft,AMD Ryzen 7,16,AMD Radeon RX 6800,13.3,11.1,1.48,macOS,512,SSD,2560,1440,1728.59
Lenovo,Intel i9,32,AMD Radeon RX 6600,17.3,9.6,1.53,FreeDOS,1024,SSD,2560,1440,3430.9
MSI,AMD Ryzen 3,64,AMD Radeon RX 6600,17.3,4.9,2.53,Linux,512,SSD,1366,768,2258.24
MSI,AMD Ryzen 5,8,Nvidia RTX 3060,15.6,5.4,1.96,macOS,1024,SSD,2560,1440,1585.2
Samsung,AMD Ryzen 5,16,Nvidia RTX 2060,13.3,4.6,2.13,Windows,1024,HDD,1366,768,690.83
MSI,AMD Ryzen 9,8,Integrated,15.6,11.3,3.44,Linux,1024,HDD,1366,768,1088.63
Acer,Intel i9,16,Integrated,14.0,11.0,1.7,macOS,1024,SSD,2560,1440,1533.95
Apple,Intel i9,4,Nvidia RTX 3060,17.3,10.6,1.77,FreeDOS,512,SSD,3840,2160,3737.39
Acer,AMD Ryzen 9,4,Nvidia RTX 3080,13.3,8.2,3.14,macOS,2048,SSD,1920,1080,1301.11
Asus,Intel i3,4,Integrated,14.0,10.1,1.87,Linux,512,SSD,1920,1080,613.35
Apple,Intel i5,8,Nvidia RTX 2060,13.3,4.4,2.81,Linux,512,SSD,3840,2160,2171.07
Razer,Intel i5,4,Nvidia RTX 3080,14.0,10.3,2.36,Windows,512,SSD,1920,1080,1280.34
Samsung,AMD Ryzen 7,64,AMD Radeon RX 6600,14.0,7.4,3.45,macOS,256,SSD,1920,1080,2732.25
HP,Intel i3,64,Integrated,16.0,7.0,2.15,macOS,1024,HDD,2560,1440,1391.54
MSI,Intel i3,8,Integrated,13.3,11.7,1.57,FreeDOS,1024,HDD,1366,768,562.68
MSI,Intel i5,4,Nvidia GTX 1650,17.3,10.2,2.45,macOS,1024,HDD,1366,768,818.54
Razer,AMD Ryzen 3,64,Nvidia RTX 3060,13.3,10.9,2.11,macOS,2048,SSD,1920,1080,2486.63
Dell,AMD Ryzen 5,32,AMD Radeon RX 6600,16.0,10.2,2.09,macOS,1024,HDD,3840,2160,2136.43
Lenovo,AMD Ryzen 9,16,Nvidia RTX 3060,14.0,6.9,2.8,Windows,512,SSD,1366,768,1563.19
Microsoft,Intel i9,8,Nvidia RTX 3080,15.6,6.4,2.91,Windows,1024,SSD,1366,768,1333.01
Razer,AMD Ryzen 3,16,Nvidia RTX 2060,17.3,4.6,1.22,FreeDOS,256,SSD,3840,2160,2283.16
Microsoft,AMD Ryzen 5,64,Nvidia RTX 3060,15.6,8.8,1.64,FreeDOS,256,SSD,1366,768,2006.15
Acer,Intel i5,4,Nvidia RTX 3080,13.3,5.4,1.63,Windows,2048,SSD,2560,1440,987.82
MSI,Intel i7,16,AMD Radeon RX 6600,13.3,5.9,2.82,macOS,2048,SSD,2560,1440,2253.38
Asus,Intel i9,32,AMD Radeon RX 6600,15.6,7.1,3.35,macOS,512,SSD,3840,2160,4283.22
Asus,AMD Ryzen 5,8,Nvidia RTX 2060,14.0,6.8,1.64,Linux,256,SSD,3840,2160,1609.16
Samsung,AMD Ryzen 3,16,Integrated,17.3,4.5,1.48,Windows,256,SSD,1920,1080,648.85
Acer,Intel i7,8,Nvidia GTX 1650,14.0,10.9,3.31,FreeDOS,256,SSD,2560,1440,1396.3
MSI,AMD Ryzen 7,64,Nvidia GTX 1650,17.3,11.5,2.76,Linux,1024,HDD,1366,768,2700.26
MSI,Intel i7,32,Nvidia RTX 3060,13.3,4.9,1.81,Linux,1024,HDD,1920,1080,1957.93
Razer,Intel i7,64,Nvidia RTX 3080,16.0,7.8,3.4,macOS,1024,HDD,2560,1440,4354.69
Microsoft,Intel i3,4,Nvidia RTX 3060,17.3,10.0,3.44,macOS,512,SSD,3840,2160,1153.02
Microsoft,Intel i9,8,AMD Radeon RX 6800,14.0,9.1,1.79,Linux,256,SSD,3840,2160,2595.12
Apple,Intel i5,16,AMD Radeon RX 6800,16.0,9.5,3.1,FreeDOS,1024,SSD,1920,1080,1841.86
Apple,AMD Ryzen 5,16,Nvidia RTX 2060,15.6,9.7,3.22,Linux,1024,HDD,1366,768,1357.07
Razer,AMD Ryzen 7,32,Integrated,17.3,9.9,2.02,Linux,1024,SSD,1366,768,1442.03
Apple,Intel i9,32,Integrated,16.0,11.4,1.3,macOS,1024,SSD,1920,1080,2605.98
MSI,Intel i3,4,Nvidia RTX 2060,17.3,10.4,3.5,FreeDOS,256,SSD,3840,2160,1555.4
Lenovo,AMD Ryzen 3,64,Nvidia RTX 3060,17.3,8.5,1.39,macOS,1024,HDD,1366,768,1500.86
Lenovo,AMD Ryzen 7,4,AMD Radeon RX 6600,17.3,10.3,1.68,Windows,256,SSD,1920,1080,1196.25
Dell,Intel i7,4,AMD Radeon RX 6600,17.3,5.8,1.21,Windows,256,SSD,1366,768,998.74
Lenovo,Intel i3,64,Nvidia RTX 2060,16.0,11.8,2.78,Windows,1024,SSD,3840,2160,3241.71
Razer,AMD Ryzen 3,8,Nvidia RTX 3060,17.3,11.4,1.81,macOS,1024,HDD,1366,768,823.56
Microsoft,AMD Ryzen 9,4,AMD Radeon RX 6600,16.0,10.4,1.23,Windows,1024,HDD,1920,1080,1154.63
Apple,AMD Ryzen 5,32,Nvidia RTX 3080,16.0,6.6,2.85,Linux,1024,SSD,1920,1080,2392.06
Razer,Intel i3,16,Nvidia GTX 1650,13.3,10.1,2.88,FreeDOS,256,SSD,1920,1080,1181.68
MSI,AMD Ryzen 3,8,Nvidia RTX 3060,17.3,9.4,2.07,Windows,256,SSD,3840,2160,1795.72
Dell,AMD Ryzen 9,16,Nvidia RTX 2060,13.3,5.1,2.43,FreeDOS,512,SSD,2560,1440,2156.56
HP,AMD Ryzen 3,4,AMD Radeon RX 6800,15.6,7.0,1.28,macOS,512,SSD,3840,2160,1192.4
Microsoft,Intel i5,64,Integrated,16.0,7.4,3.39,Linux,2048,SSD,1920,1080,1530.34
MSI,AMD Ryzen 7,8,AMD Radeon RX 6800,15.6,8.2,2.69,FreeDOS,2048,SSD,1366,768,1466.93
Microsoft,AMD Ryzen 9,16,Nvidia GTX 1650,14.0,9.0,2.85,FreeDOS,1024,SSD,2560,1440,2382.28
MSI,AMD Ryzen 9,16,Nvidia RTX 2060,13.3,9.7,2.94,FreeDOS,2048,SSD,2560,1440,2847.33
HP,AMD Ryzen 5,4,Nvidia RTX 3080,15.6,4.4,2.12,Windows,512,SSD,2560,1440,1134.57
Acer,AMD Ryzen 3,16,Nvidia RTX 3060,13.3,4.9,2.54,macOS,256,SSD,3840,2160,1607.36
Apple,AMD Ryzen 7,8,AMD Radeon RX 6800,17.3,7.6,3.39,FreeDOS,2048,SSD,1366,768,1635.72
Asus,Intel i3,32,Nvidia GTX 1650,13.3,6.9,2.77,macOS,2048,SSD,1920,1080,1357.04
Samsung,AMD Ryzen 5,64,Nvidia RTX 3080,14.0,6.4,1.89,Windows,256,SSD,3840,2160,3631.8
Samsung,Intel i3,8,AMD Radeon RX 6600,17.3,8.0,2.88,Windows,1024,HDD,1366,768,536.43
Dell,Intel i5,4,Nvidia RTX 3080,13.3,7.1,3.26,Windows,1024,HDD,1366,768,502.14
MSI,Intel i3,4,Nvidia GTX 1650,17.3,4.5,2.26,FreeDOS,1024,SSD,3840,2160,1521.09
MSI,AMD Ryzen 7,16,Integrated,14.0,6.0,3.31,macOS,2048,SSD,3840,2160,2062.35
HP,Intel i3,8,Nvidia RTX 2060,15.6,5.6,2.69,Windows,256,SSD,1366,768,865.53
Razer,Intel i3,8,Nvidia RTX 3060,13.3,4.8,1.61,Windows,256,SSD,2560,1440,1279.83
Samsung,Intel i9,16,Nvidia GTX 1650,15.6,4.1,1.8,FreeDOS,1024,SSD,1920,1080,2052.22
Razer,Intel i9,32,Nvidia RTX 3080,13.3,5.1,2.98,Linux,1024,HDD,1920,1080,2925.31
